sim_time_s,mission_state,assurance_state,action,link,navigation_confidence,energy_margin_wh,decision_code
26.121,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED
26.621,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED
27.123,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED
27.623,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED
28.124,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED
28.626,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED
29.126,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED
29.628,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED
30.129,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED
30.63,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED
31.13,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED
31.635,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED
32.135,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED
32.636,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED
33.139,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED
33.641,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED
34.141,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED
34.645,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED
35.146,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED
35.647,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED
36.149,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED
36.651,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED
37.152,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED
37.655,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED
38.156,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED
38.657,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED
39.159,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED
39.661,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED
40.164,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED
40.669,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED
41.172,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED
41.673,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED
42.173,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED
42.675,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED
43.176,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED
43.677,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED
44.178,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED
44.678,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED
45.179,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED
45.68,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED
46.181,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED
46.682,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED
47.184,SAFE_STOP,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED
