sim_time_s,mission_state,assurance_state,action,link,navigation_confidence,energy_margin_wh,decision_code,package_custody,receipt_status,delivery_outcome,timeliness
40.658,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED,AIRCRAFT,PENDING,NOT_COMPLETED,UNKNOWN
41.16,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED,AIRCRAFT,PENDING,NOT_COMPLETED,UNKNOWN
41.661,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED,AIRCRAFT,PENDING,NOT_COMPLETED,UNKNOWN
42.165,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED,AIRCRAFT,PENDING,NOT_COMPLETED,UNKNOWN
42.665,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED,AIRCRAFT,PENDING,NOT_COMPLETED,UNKNOWN
43.165,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED,AIRCRAFT,PENDING,NOT_COMPLETED,UNKNOWN
43.667,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED,AIRCRAFT,PENDING,NOT_COMPLETED,UNKNOWN
44.168,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED,AIRCRAFT,PENDING,NOT_COMPLETED,UNKNOWN
44.669,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED,AIRCRAFT,PENDING,NOT_COMPLETED,UNKNOWN
45.171,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED,AIRCRAFT,PENDING,NOT_COMPLETED,UNKNOWN
45.671,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED,AIRCRAFT,PENDING,NOT_COMPLETED,UNKNOWN
46.172,SAFE_STOP,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED,AIRCRAFT,PENDING,NOT_COMPLETED,UNKNOWN
